team,city,country
Maccabi Haifa,Haifa,Israel
Helsingborgs IF,Helsingborg,Sweden
Barry Town FC,Barry,Great Britain
Olimpija Ljubljana,Ljubljana,Slovenia
Lech Poznań,Poznan,Poland
RB Salzburg,Salzburg,Austria
HB Tórshavn,Torshavn,Faroe Islands
FC Banants,Yerevan,Armenia
CE Principat,Andorra la vella,Andorra
Pyunik FC,Yerevan,Armenia
Cliftonville FC,Belfast,Great Britain
Újpesti TE,Budapest,Hungary
Manchester United,Manchester,Great Britain
Croatia Zagreb,Zagreb,Croatia
Birkirkara FC,Birkirkara,Malta
IF Elfsborg,Boras,Sweden
Hammarby IF,Stockholm,Sweden
Glacis United FC,Gibraltar,Gibraltar
Zenit St. Petersburg,St. petersburg,Russia
Galatasaray,Istanbul,Turkey
SP Tre Penne,City of san marino,San Marino
Inter,Milan,Italy
FK Slavia Mozyr,Mazyr,Belarus
RSC Anderlecht,Brussels,Belgium
Sparta Praha,Prague,Czech Republic
MTK Hungaria,Budapest,Hungary
KF Hysi,Podujevo,Kosovo
Steaua Bucureşti,Bucharest,Romania
Valletta FC,Valletta,Malta
Shakhter Soligorsk,Soligorsk,Belarus
FC Samtredia,Samtredia,Georgia
Levski Sofia,Sofia,Bulgaria
St Patrick's Athletic,Dublin,Ireland
SP Tre Fiori,Fiorentino,San Marino
VB Vágur,Vagur,Faroe Islands
FK Rabotnički,Skopje,Macedonia
Lincoln ABG FC,Gibraltar,Gibraltar
Club Brugge KV,Bruges,Belgium
Olympique Lyon,Lyon,France
Polonia Warszawa,Warsaw,Poland
1. FC Košice,Kosice,Slovakia
Modriča Maksima,Modrica,Bosnia
SL Benfica,Lisbon,Portugal
FK Sūduva,Marijampole,Lithuania
Glentoran Belfast,Belfast,Great Britain
Lincoln Red Imps,Gibraltar,Gibraltar
Bohemian FC,Dublin,Ireland
VfB Stuttgart,Stuttgart,Germany
Rhyl FC,Rhyl,Great Britain
Dinamo Bucureşti,Bucharest,Romania
APOEL Nikosia,Nicosia,Cyprus
Breiðablik,Kopavogur,Iceland
FH Hafnarfjörður,Hafnarfjordur,Iceland
Parma,Parma,
Qarabağ FK,Baku,Azerbaijan
Stabæk IF,Stabekk,Norway
Lazio Roma,Rome,Italy
Borussia Dortmund,Dortmund,Germany
Dnepr Mogilev,Mogilev,Belarus
Györi ETO FC,Gyor,Hungary
Riga FC,Riga,Latvia
MŠK Žilina,Zilina,Slovakia
Belshina Bobruisk,Babruysk,Belarus
FK Kareda Siauliai,Kaunas,Lithuania
FK Mogren Budva,Budva,Montenegro
Djurgårdens IF,Stockholm,Sweden
Halmstads BK,Halmstad,Sweden
Sileks Kratovo,Kratovo,Macedonia
FC Levadia,Tallinn,Estonia
Sliema Wanderers,Sliema,Malta
FK Yerevan,Yerevan,Armenia
MFK Ružomberok,Ruzomberok,Slovakia
Llamkos Kosova,Vucitrn,Kosovo
FC Santa Coloma,Andorra la vella,Andorra
Paris Saint-Germain,Paris,France
Lokomotiv Moskva,Moscow,Russia
Strømsgodset IF,Gulskogen,Norway
BATE Borisov,Barysaw,Belarus
Jeunesse Esch,Esch-sur-alzette,Luxembourg
FBK Kaunas,Kaunas,Lithuania
AC Milan,Milan,Italy
Dinamo Zagreb,Zagreb,Croatia
Feyenoord,Rotterdam,Netherlands
Sevilla,Seville,Spain
Rosenborg BK,Trondheim,Norway
Inter Baku,Keshla,Azerbaijan
Khazar Lankaran,Lankaran,Azerbaijan
Beşiktaş,Istanbul,Turkey
Crvena Zvezda,Belgrade,Serbia
Ferencvárosi TC,Budapest,Hungary
Wisła Kraków,Krakow,Poland
FC Domagnano,Domagnano,San Marino
Servette Genève,Geneva,Switzerland
Chelsea FC,London,Great Britain
Europa FC,Gibraltar,Gibraltar
KRC Genk,Genk,Belgium
SK Brann,Bergen,Norway
FC Vaduz,Vaduz,Liechtenstein
Olympique Marseille,Marseille,France
Baník Ostrava,Ostrava,Czech Republic
Hajduk Split,Split,Croatia
Shamkir FK,Semkir,Azerbaijan
FK Zalgiris,Vilnius,Lithuania
KÍ Klaksvík,Klaksvik,Faroe Islands
TNS Llansantffraid,Oswestry,Great Britain
Astra Giurgiu,Giurgiu,Romania
FC Koper,Koper,Slovenia
WIT Georgia,Tbilisi,Georgia
KF Trepça'89,Mitrovica,Kosovo
Austria Wien,Vienna,Austria
FC Encamp,Encamp,Andorra
FK Vllaznia,Shkoder,Albania
B36 Tórshavn,Torshavn,Faroe Islands
Maccabi Tel Aviv,Tel aviv,Israel
FK Gomel,Gomel,Belarus
Constel-lacio Esportiva,Andorra le vella,Andorra
FC Zestafoni,Zestaponi,Georgia
ND Gorica,Nova gorica,Slovenia
The New Saints,Oswestry,Great Britain
Prishtina KF,Pristina,Kosovo
NSÍ Runavík,Runavik,Faroe Islands
Sporting CP,Lisbon,Portugal
Rapid Wien,Vienna,Austria
FK Ekranas,Panevezys,Lithuania
PFC Litex Lovech,Lovech,Bulgaria
Juventus,Turin,Italy
Besa Pejë,Pec,Kosovo
Slavia Praha,Prague,Czech Republic
Hibernians FC,Paola,Malta
Slovan Bratislava,Bratislava,Slovakia
Porto,Porto,Portugal
Gibraltar United FC,Gibraltar,Gibraltar
Deportivo La Coruña,A coruna,Spain
FC København,Copenhagen,Denmark
Spartak Moskva,Moscow,Russia
Drita Gjilan,Gjilan,Kosovo
Brøndby IF,Brondby,Denmark
Valencia,Valencia,Spain
Atletico Madrid,Madrid,
FC Sheriff,Tiraspol,Moldova
FC Tirol Innsbruck,Innsbruck,Austria
Araks Ararat,Ararat,Armenia
SS Cosmos,Serravalle,San Marino
Spartak Trnava,Trnava,Slovakia
CSKA Sofia,Sofia,Bulgaria
Atlético Madrid,Madrid,Spain
PSV Eindhoven,Eindhoven,Netherlands
Arsenal FC,London,Great Britain
Zalaegerszegi TE,Zalaegerszegi te,Hungary
Manchester 62 FC,Gibraltar,Gibraltar
Budapest Honvéd,Budapest,Hungary
Vardar Skopje,Skopje,Macedonia
Rangers FC,Glasgow,Great Britain
FC Zürich,Zurich,Switzerland
Shamrock Rovers,Dublin,Ireland
Girondins Bordeaux,Bordeaux,France
Herfølge BK,Koge,Denmark
KF Shkëndija 79,Tetovo,Macedonia
FC Daugava,Daugavpils,Latvia
AFC Ajax,Amsterdam,Netherlands
MTK Budapest,Budapest,Hungary
Newcastle FC,Newcastle,Gibraltar
No Champion,No city,Italy
CSKA Moskva,Moscow,Russia
NK Brotnjo,Citluk,Bosnia
Shelbourne FC,Dublin,Ireland
Grazer AK,Graz,Austria
Makedonija GP,Skopje,Macedonia
Aalborg BK,Aalborg,Denmark
Drogheda United,Drogheda,Ireland
Lille OSC,Lille,France
RC Lens,Lens,France
Dinamo Tbilisi,Tbilisi,Georgia
FC Midtjylland,Midtjylland,Denmark
Malmö FF,Malmo,Sweden
Fenerbahçe,Istanbul,Turkey
Crusaders FC,Belfast,Great Britain
Mladost Podgorica,Podgorica,Montenegro
KF Feronikeli,Glogovac,Kosovo
CSKA Moscow,Moscow,
FC Nantes,Nantes,France
FC Rànger's,Andorra la vella,Andorra
Panathinaikos,Athens,Greece
FK Renova,Tetovo,Macedonia
Legia Warszawa,Warsaw,Poland
FC Basel,Basel,Switzerland
FK Liepāja,Liepaja,Latvia
Slovan Liberec,Liberec,Czech Republic
Bayern München,Munich,Germany
FC Infonet,Tallinn,Estonia
USV Eschen/Mauren,Eschen,Liechtenstein
FC TVMK,Tallinn,Estonia
Valencia CF,Valencia,Spain
Boavista,Porto,Portugal
Dacia Chişinău,Chisinau,Moldova
Neftçi PFK,Baku,Azerbaijan
Ironi Kiryat Shmona,Kiryat shmona,Israel
F91 Dudelange,Dudelange,Luxembourg
FC Alashkert,Yerevan,Armenia
Skonto FC,Riga,Latvia
